pathImg,price,title,hot_line,url,point,rating_total,star_percent_list,producer,memory,Camera chính,Camera phụ,chip,Độ phân giải màn hình,Dung lượng pin,Hệ điều hành,Kích thước màn hình,ram
https://hcm-clickbuy.cdn.vccloud.vn/uploads/2022/03/avt-iphone-13-pro-max-green.png,41.990.000,Apple iPhone 13 Pro Max 512GB Chính Hãng VN/A,1900.63.39.09,https://hcm.clickbuy.com.vn/apple-iphone-13-pro-max-512gb-chinh-hang-vna/,5.00,(0 đánh giá),"0 đánh giá,0 đánh giá,0 đánh giá,0 đánh giá,0 đánh giá",iPhone,512 GB,"Camera góc rộng: 12MP, ƒ/1.5, Camera góc siêu rộng: 12MP, ƒ/1.8, Camera tele : 12MP, /2.8","12MP, ƒ/2.2",Apple A15 Bionic Chip,,"4,325mAh",IOS 15,6.7 inch,6 GB
https://hcm-clickbuy.cdn.vccloud.vn/uploads/2021/09/avt-iphone-13-pro-max-sierra-blue.png,30.290.000,Apple iPhone 13 Pro 256GB Chính Hãng VN/A,1900.63.39.09,https://hcm.clickbuy.com.vn/apple-iphone-13-pro-256gb-fullbox-chinh-hang/,4.00,(1 đánh giá),"0 đánh giá,1 đánh giá,0 đánh giá,0 đánh giá,0 đánh giá",iPhone,256 GB,"Cảm biến LiDAR, Triple 12Mp + 12Mp + 12Mp",12 MP,Apple A15 Bionic Chip,,3095 MAH,IOS 15,6.1 inches,6 GB
https://hcm-clickbuy.cdn.vccloud.vn/uploads/2022/05/avt-iphone-13-pro-max-tang-bh.png,33.490.000,Apple iPhone 13 Pro Max 128GB Chính Hãng VN/A,1900.63.39.09,https://hcm.clickbuy.com.vn/apple-iphone-13-pro-max-128gb-chinh-hang-vna/,4.50,(26 đánh giá),"20 đánh giá,3 đánh giá,1 đánh giá,0 đánh giá,2 đánh giá",iPhone,128GB,"Camera góc rộng: 12MP, ƒ/1.5, Camera góc siêu rộng: 12MP, ƒ/1.8, Camera tele : 12MP, /2.8","12MP, ƒ/2.2",Apple A15 Bionic Chip,,"4,325mAh",IOS 15,6.7 inch,6 GB
https://hcm-clickbuy.cdn.vccloud.vn/uploads/2022/05/avt-iphone-13-pro-tang-bh.png,28.590.000,Apple iPhone 13 Pro 128GB Chính Hãng VN/A,1900.63.39.09,https://hcm.clickbuy.com.vn/apple-iphone-13-pro-128gb-chinh-hang-vn-a/,4.47,(15 đánh giá),"10 đánh giá,4 đánh giá,0 đánh giá,0 đánh giá,1 đánh giá",iPhone,128GB,"Cảm biến LiDAR, Triple 12Mp + 12Mp + 12Mp",12 MP,Apple A15 Bionic Chip,,3095 MAH,IOS 15,6.1 inches,6 GB
https://hcm-clickbuy.cdn.vccloud.vn/uploads/2022/05/avt-iphone-13-pro-tang-bh.png,26.690.000,Apple iPhone 13 Pro 128GB Cũ,1900.63.39.09,https://hcm.clickbuy.com.vn/apple-iphone-13-pro-128gb-cu/,4.00,(0 đánh giá),"0 đánh giá,0 đánh giá,0 đánh giá,0 đánh giá,0 đánh giá",iPhone,128GB,"Cảm biến LiDAR, Triple 12Mp + 12Mp + 12Mp",12 MP,Apple A15 Bionic Chip,,3095 MAH,IOS 15,6.1 inches,6 GB
https://hcm-clickbuy.cdn.vccloud.vn/uploads/2022/05/iphone_se_2022.jpg,16.490.000,Apple iPhone SE 2022 256GB Chính Hãng VN/A,1900.63.39.09,https://hcm.clickbuy.com.vn/apple-iphone-se-2022-256gb-chinh-hang-vn-a/,4.60,(0 đánh giá),"0 đánh giá,0 đánh giá,0 đánh giá,0 đánh giá,0 đánh giá",iPhone Chính Hãng,256 GB,12 MP,7 MP,Apple A15 Bionic Chip,1334 x 750 pixels (HD+),1820 mAh,IOS 15,4.7 inches,4 GB
https://hcm-clickbuy.cdn.vccloud.vn/uploads/2019/03/6sssssss-1-1.png,4.190.000,Apple iPhone 6S Plus 128GB Quốc Tế Likenew,1900.63.39.09,https://hcm.clickbuy.com.vn/apple-iphone-6s-plus-128gb-quoc-te-likenew/,4.38,(8 đánh giá),"4 đánh giá,3 đánh giá,1 đánh giá,0 đánh giá,0 đánh giá",iPhone,128GB,12 MP,5.0 MP,Apple A9,"IPS FullHD, 1920×1080 pixels",Li-Po 2750 mAh,"iOS 9, upgradable to iOS 10.1",5.5 inches,2GB
https://hcm-clickbuy.cdn.vccloud.vn/uploads/2019/03/iPhone-6s-vang-hong.png,3.090.000,Apple Iphone 6S 64GB quốc tế Likenew Không vân tay,1900.63.39.09,https://hcm.clickbuy.com.vn/apple-iphone-6s-64gb-quoc-te-likenew-khong-van-tay/,4.20,(10 đánh giá),"5 đánh giá,2 đánh giá,3 đánh giá,0 đánh giá,0 đánh giá",Hàng xả giá sốc,64 GB,12 MP,5.0 MP,Apple A9,750 x 1334 pixel (~326 ppi),Li-Po 1715 mAh,iOS 9,4.7 inches,2GB
https://hcm-clickbuy.cdn.vccloud.vn/uploads/2019/09/avt-ip-11-pro-gold.png,17.890.000,Apple iPhone 11 Pro Max Lock 64GB Likenew,1900.63.39.09,https://hcm.clickbuy.com.vn/apple-iphone-11-pro-max-lock-64gb-likenew/,4.73,(133 đánh giá),"106 đánh giá,17 đánh giá,8 đánh giá,1 đánh giá,0 đánh giá",iPhone,64 GB,Triple 12MP + 12MP + 12MP,12 MP,Apple A13 Bionic (7 nm+),1242 x 2688 Pixels,Li-lon 3969 mAh,iOS 13,6.5 inches,4 GB
https://hcm-clickbuy.cdn.vccloud.vn/uploads/2022/05/iphone_se_2022.jpg,11.990.000,Apple iPhone SE 2022 64GB Chính Hãng VN/A,1900.63.39.09,https://hcm.clickbuy.com.vn/apple-iphone-se-2022-64gb-chinh-hang-vn-a/,4.52,(0 đánh giá),"0 đánh giá,0 đánh giá,0 đánh giá,0 đánh giá,0 đánh giá",iPhone Chính Hãng,64 GB,12 MP,7 MP,Apple A15 Bionic Chip,1334 x 750 pixels (HD+),1820 mAh,IOS 15,4.7 inches,4 GB
https://hcm-clickbuy.cdn.vccloud.vn/uploads/2022/05/iphone_se_2022.jpg,13.290.000,Apple iPhone SE 2022 128GB Chính Hãng VN/A,1900.63.39.09,https://hcm.clickbuy.com.vn/apple-iphone-se-2022-128gb-chinh-hang-vn-a/,4.40,(0 đánh giá),"0 đánh giá,0 đánh giá,0 đánh giá,0 đánh giá,0 đánh giá",iPhone Chính Hãng,128GB,12 MP,7 MP,Apple A15 Bionic Chip,1334 x 750 pixels (HD+),1820 mAh,IOS 15,4.7 inches,4 GB
https://hcm-clickbuy.cdn.vccloud.vn/uploads/2019/09/avt-ip-11-blue.png,16.890.000,Apple iPhone 11 128GB Chính Hãng VN/A,1900.63.39.09,https://hcm.clickbuy.com.vn/apple-iphone-11-128gb-chinh-hang-vn-a-2/,4.68,(37 đánh giá),"27 đánh giá,9 đánh giá,0 đánh giá,1 đánh giá,0 đánh giá",iPhone,128GB,Dual 12MP + 12MP,12 MP,Apple A13 Bionic (7 nm+),828 x 1792 pixels,3110 mAh,iOS 13,6.1 inches,4 GB
https://hcm-clickbuy.cdn.vccloud.vn/uploads/2020/10/avt-iphone-12-mini-green.png,10.990.000,Apple iPhone 12 Mini 64GB Cũ,1900.63.39.09,https://hcm.clickbuy.com.vn/apple-iphone-12-mini-64gb-cu/,4.60,(45 đánh giá),"31 đánh giá,12 đánh giá,1 đánh giá,0 đánh giá,1 đánh giá",iPhone,64 GB,"12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6""","12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D",A14 Bionic chip,1080 x 2340 pixels,,ios 14,5.4inch,
https://hcm-clickbuy.cdn.vccloud.vn/uploads/2022/05/avt-iphone-11-tang-bh.png,15.190.000,Apple iPhone 11 64GB Chính Hãng VN/A,1900.63.39.09,https://hcm.clickbuy.com.vn/apple-iphone-11-64gb-chinh-hang-vn-a/,4.54,(69 đánh giá),"48 đánh giá,15 đánh giá,3 đánh giá,1 đánh giá,2 đánh giá",iPhone,64 GB,Dual 12MP + 12MP,12 MP,Apple A13 Bionic (7 nm+),828 x 1792 pixels,3110 mAh,iOS 13,6.1 inches,4 GB
https://hcm-clickbuy.cdn.vccloud.vn/uploads/2021/05/avt-iphone-12-purple.png,20.790.000,Apple iPhone 12 128GB Chính Hãng VN/A,1900.63.39.09,https://hcm.clickbuy.com.vn/apple-iphone-12-128gb-chinh-hang-vn-a/,4.78,(9 đánh giá),"8 đánh giá,0 đánh giá,1 đánh giá,0 đánh giá,0 đánh giá",iPhone,128GB,"12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6""","12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D",A14 Bionic chip,1170 x 2532,,ios 14,6.1 inches,
https://hcm-clickbuy.cdn.vccloud.vn/uploads/2020/10/avt-iphone-12-mini-green.png,10.990.000,Apple iPhone 12 Mini 64GB Cũ,1900.63.39.09,https://hcm.clickbuy.com.vn/apple-iphone-12-mini-64gb-cu/,4.60,(45 đánh giá),"31 đánh giá,12 đánh giá,1 đánh giá,0 đánh giá,1 đánh giá",iPhone,64 GB,"12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6""","12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D",A14 Bionic chip,1080 x 2340 pixels,,ios 14,5.4inch,
https://hcm-clickbuy.cdn.vccloud.vn/uploads/2021/05/avt-iphone-12-purple.png,20.790.000,Apple iPhone 12 128GB Chính Hãng VN/A,1900.63.39.09,https://hcm.clickbuy.com.vn/apple-iphone-12-128gb-chinh-hang-vn-a/,4.78,(9 đánh giá),"8 đánh giá,0 đánh giá,1 đánh giá,0 đánh giá,0 đánh giá",iPhone,128GB,"12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6""","12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D",A14 Bionic chip,1170 x 2532,,ios 14,6.1 inches,
https://hcm-clickbuy.cdn.vccloud.vn/uploads/2020/10/avt-iphone-12-pro-gold.png,21.490.000,Apple iPhone 12 Pro 128GB Cũ,1900.63.39.09,https://hcm.clickbuy.com.vn/apple-iphone-12-pro-128gb-cu/,4.57,(44 đánh giá),"32 đánh giá,9 đánh giá,1 đánh giá,0 đánh giá,2 đánh giá",iPhone,128GB,Triple 12MP + 12MP + 12MP,"12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D",A14 Bionic chip,1170 x 2532,,ios 14,6.1 inches,
https://hcm-clickbuy.cdn.vccloud.vn/uploads/2020/10/avt-iphone-12-black.png,15.990.000,Apple iPhone 12 64GB Quốc Tế Cũ,1900.63.39.09,https://hcm.clickbuy.com.vn/apple-iphone-12-64gb-quoc-te-cu/,4.45,(49 đánh giá),"28 đánh giá,15 đánh giá,6 đánh giá,0 đánh giá,0 đánh giá",iPhone,64 GB,"12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6""","12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D",A14 Bionic chip,1170 x 2532,,ios 14,6.1 inches,
https://hcm-clickbuy.cdn.vccloud.vn/uploads/2020/10/avt-iphone-12-pro-max-gold.png,24.990.000,Apple iPhone 12 Pro Max 128GB Cũ,1900.63.39.09,https://hcm.clickbuy.com.vn/apple-iphone-12-pro-max-128gb-cu/,4.63,(27 đánh giá),"19 đánh giá,6 đánh giá,2 đánh giá,0 đánh giá,0 đánh giá",iPhone,128 GB,Triple 12MP + 12MP + 12MP,"12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D",A14 Bionic chip,1284 x 2778,,ios 14,6.7 inch,
https://hcm-clickbuy.cdn.vccloud.vn/uploads/2020/10/avt-iphone-12-pro-max-gold.png,25.990.000,Apple iPhone 12 Pro Max 256GB Cũ,1900.63.39.09,https://hcm.clickbuy.com.vn/apple-iphone-12-pro-max-256gb-cu/,4.83,(12 đánh giá),"10 đánh giá,2 đánh giá,0 đánh giá,0 đánh giá,0 đánh giá",iPhone,256 GB,Triple 12MP + 12MP + 12MP,"12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D",A14 Bionic chip,1284 x 2778,,ios 14,6.7 inch,
https://hcm-clickbuy.cdn.vccloud.vn/uploads/2020/10/avt-iphone-12-mini-green.png,13.590.000,Apple iPhone 12 Mini 128GB Cũ,1900.63.39.09,https://hcm.clickbuy.com.vn/apple-iphone-12-mini-128gb-cu/,4.50,(10 đánh giá),"5 đánh giá,5 đánh giá,0 đánh giá,0 đánh giá,0 đánh giá",iPhone,128GB,"12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6""","12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D",A14 Bionic chip,1080 x 2340 pixels,,ios 14,5.4inch,
https://hcm-clickbuy.cdn.vccloud.vn/uploads/2022/05/avt-iphone-12-tang-bh.png,19.290.000,Apple iPhone 12 64GB Chính Hãng VN/A,1900.63.39.09,https://hcm.clickbuy.com.vn/apple-iphone-12-64gb-chinh-hang-vn-a/,3.63,(16 đánh giá),"8 đánh giá,3 đánh giá,0 đánh giá,1 đánh giá,4 đánh giá",iPhone,64 GB,"12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6""","12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D",A14 Bionic chip,1170 x 2532,,ios 14,6.1 inches,
https://hcm-clickbuy.cdn.vccloud.vn/uploads/2022/05/avt-iphone-12-tang-bh.png,19.290.000,Apple iPhone 12 64GB Chính Hãng VN/A,1900.63.39.09,https://hcm.clickbuy.com.vn/apple-iphone-12-64gb-chinh-hang-vn-a/,3.63,(16 đánh giá),"8 đánh giá,3 đánh giá,0 đánh giá,1 đánh giá,4 đánh giá",iPhone,64 GB,"12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6""","12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D",A14 Bionic chip,1170 x 2532,,ios 14,6.1 inches,
https://hcm-clickbuy.cdn.vccloud.vn/uploads/2020/10/avt-iphone-12-black.png,16.190.000,Apple iPhone 12 128GB Quốc Tế Cũ,1900.63.39.09,https://hcm.clickbuy.com.vn/apple-iphone-12-128gb-quoc-te-cu/,4.82,(39 đánh giá),"32 đánh giá,7 đánh giá,0 đánh giá,0 đánh giá,0 đánh giá",iPhone,128GB,"12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6""","12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D",A14 Bionic chip,1170 x 2532,,ios 14,6.1 inches,
https://hcm-clickbuy.cdn.vccloud.vn/uploads/2021/09/avt-iphone-13-pro-max-sierra-blue.png,34.590.000,Apple iPhone 13 Pro 512GB Chính Hãng VN/A,1900.63.39.09,https://hcm.clickbuy.com.vn/apple-iphone-13-pro-512gb-fullbox-chinh-hang/,4.50,(0 đánh giá),"0 đánh giá,0 đánh giá,0 đánh giá,0 đánh giá,0 đánh giá",iPhone,512 GB,"Cảm biến LiDAR, Triple 12Mp + 12Mp + 12Mp",12 MP,Apple A15 Bionic Chip,,3095 MAH,IOS 15,6.1 inches,6 GB
https://hcm-clickbuy.cdn.vccloud.vn/uploads/2021/09/avt-iphone-13-pro-max-sierra-blue.png,30.290.000,Apple iPhone 13 Pro 256GB Chính Hãng VN/A,1900.63.39.09,https://hcm.clickbuy.com.vn/apple-iphone-13-pro-256gb-fullbox-chinh-hang/,4.00,(1 đánh giá),"0 đánh giá,1 đánh giá,0 đánh giá,0 đánh giá,0 đánh giá",iPhone,256 GB,"Cảm biến LiDAR, Triple 12Mp + 12Mp + 12Mp",12 MP,Apple A15 Bionic Chip,,3095 MAH,IOS 15,6.1 inches,6 GB
https://hcm-clickbuy.cdn.vccloud.vn/uploads/2021/09/avt-iphone-13-pink.png,30.990.000,Apple iPhone 13 512GB Chính Hãng VN/A,1900.63.39.09,https://hcm.clickbuy.com.vn/apple-iphone-13-512gb-chinh-hang-vn-a/,4.65,(0 đánh giá),"0 đánh giá,0 đánh giá,0 đánh giá,0 đánh giá,0 đánh giá",iPhone,512 GB,"Cảm biến LiDAR, Triple 12Mp + 12Mp + 12Mp",12 MP,Apple A15 Bionic Chip,,3095 MAH,IOS 15,6.1 inches,4 GB
https://hcm-clickbuy.cdn.vccloud.vn/uploads/2022/05/avt-iphone-13-pro-tang-bh.png,28.590.000,Apple iPhone 13 Pro 128GB Chính Hãng VN/A,1900.63.39.09,https://hcm.clickbuy.com.vn/apple-iphone-13-pro-128gb-chinh-hang-vn-a/,4.47,(15 đánh giá),"10 đánh giá,4 đánh giá,0 đánh giá,0 đánh giá,1 đánh giá",iPhone,128GB,"Cảm biến LiDAR, Triple 12Mp + 12Mp + 12Mp",12 MP,Apple A15 Bionic Chip,,3095 MAH,IOS 15,6.1 inches,6 GB
https://hcm-clickbuy.cdn.vccloud.vn/uploads/2021/09/avt-iphone-13-pink.png,24.590.000,Apple iPhone 13 256GB Chính Hãng VN/A,1900.63.39.09,https://hcm.clickbuy.com.vn/apple-iphone-13-256gb-chinh-hang-vn-a/,5.00,(1 đánh giá),"1 đánh giá,0 đánh giá,0 đánh giá,0 đánh giá,0 đánh giá",iPhone,256 GB,"Cảm biến LiDAR, Triple 12Mp + 12Mp + 12Mp",12 MP,Apple A15 Bionic Chip,,3095 MAH,IOS 15,6.1 inches,4 GB
https://hcm-clickbuy.cdn.vccloud.vn/uploads/2021/09/avt-iphone-13-red.png,27.990.000,Apple iPhone 13 Mini 512GB Chính Hãng VN/A,1900.63.39.09,https://hcm.clickbuy.com.vn/apple-iphone-13-mini-512gb-chinh-hang-vn-a/,5.00,(0 đánh giá),"0 đánh giá,0 đánh giá,0 đánh giá,0 đánh giá,0 đánh giá",iPhone,512 GB,"Cảm biến LiDAR, Triple 12Mp + 12Mp + 12Mp",12 MP,Apple A15 Bionic Chip,,2406 mAh,IOS 15,5.4inch,4 GB
https://hcm-clickbuy.cdn.vccloud.vn/uploads/2021/09/avt-iphone-13-red.png,24.990.000,Apple iPhone 13 Mini 256GB Chính Hãng VN/A,1900.63.39.09,https://hcm.clickbuy.com.vn/apple-iphone-13-mini-256gb-chinh-hang-vn-a/,5.00,(0 đánh giá),"0 đánh giá,0 đánh giá,0 đánh giá,0 đánh giá,0 đánh giá",iPhone,256 GB,"Cảm biến LiDAR, Triple 12Mp + 12Mp + 12Mp",12 MP,Apple A15 Bionic Chip,,2406 mAh,IOS 15,5.4inch,4 GB
https://hcm-clickbuy.cdn.vccloud.vn/uploads/2022/05/avt-iphone-13-pro-max-tang-bh.png,36.490.000,Apple iPhone 13 Pro Max 256GB Chính Hãng VN/A,1900.63.39.09,https://hcm.clickbuy.com.vn/apple-iphone-13-pro-max-256gb-chinh-hang-vna/,5.00,(5 đánh giá),"5 đánh giá,0 đánh giá,0 đánh giá,0 đánh giá,0 đánh giá",iPhone,256 GB,"Camera góc rộng: 12MP, ƒ/1.5, Camera góc siêu rộng: 12MP, ƒ/1.8, Camera tele : 12MP, /2.8","12MP, ƒ/2.2",Apple A15 Bionic Chip,,"4,325mAh",IOS 15,6.7 inch,6 GB
https://hcm-clickbuy.cdn.vccloud.vn/uploads/2022/03/avt-iphone-13-pro-max-green.png,41.990.000,Apple iPhone 13 Pro Max 512GB Chính Hãng VN/A,1900.63.39.09,https://hcm.clickbuy.com.vn/apple-iphone-13-pro-max-512gb-chinh-hang-vna/,5.00,(0 đánh giá),"0 đánh giá,0 đánh giá,0 đánh giá,0 đánh giá,0 đánh giá",iPhone,512 GB,"Camera góc rộng: 12MP, ƒ/1.5, Camera góc siêu rộng: 12MP, ƒ/1.8, Camera tele : 12MP, /2.8","12MP, ƒ/2.2",Apple A15 Bionic Chip,,"4,325mAh",IOS 15,6.7 inch,6 GB
https://hcm-clickbuy.cdn.vccloud.vn/uploads/2022/05/avt-iphone-13-pro-max-tang-bh.png,33.490.000,Apple iPhone 13 Pro Max 128GB Chính Hãng VN/A,1900.63.39.09,https://hcm.clickbuy.com.vn/apple-iphone-13-pro-max-128gb-chinh-hang-vna/,4.50,(26 đánh giá),"20 đánh giá,3 đánh giá,1 đánh giá,0 đánh giá,2 đánh giá",iPhone,128GB,"Camera góc rộng: 12MP, ƒ/1.5, Camera góc siêu rộng: 12MP, ƒ/1.8, Camera tele : 12MP, /2.8","12MP, ƒ/2.2",Apple A15 Bionic Chip,,"4,325mAh",IOS 15,6.7 inch,6 GB
